timestamp, utilization.gpu [%], power.draw [W], temperature.gpu [C]
2025/07/30 15:02:59.484, 100, 350.11, 66
2025/07/30 15:03:00.527, 100, 350.83, 63
2025/07/30 15:03:01.573, 100, 350.85, 66
2025/07/30 15:03:02.612, 100, 349.61, 66
2025/07/30 15:03:03.674, 100, 349.33, 66
2025/07/30 15:03:04.717, 100, 349.45, 61
2025/07/30 15:03:05.760, 100, 346.07, 66
2025/07/30 15:03:06.802, 100, 350.12, 66
2025/07/30 15:03:07.826, 100, 348.97, 66
2025/07/30 15:03:08.889, 100, 350.28, 60
2025/07/30 15:03:09.932, 100, 343.05, 65
2025/07/30 15:03:10.974, 100, 349.71, 65
2025/07/30 15:03:11.998, 100, 350.14, 65
2025/07/30 15:03:13.065, 100, 346.17, 60
2025/07/30 15:03:14.110, 100, 355.70, 65
2025/07/30 15:03:15.175, 100, 349.70, 65
2025/07/30 15:03:16.236, 100, 350.72, 66
2025/07/30 15:03:17.277, 100, 338.43, 64
2025/07/30 15:03:18.323, 100, 344.24, 65
2025/07/30 15:03:19.367, 100, 348.98, 65
2025/07/30 15:03:20.411, 100, 348.78, 65
2025/07/30 15:03:21.474, 100, 338.31, 65
2025/07/30 15:03:22.519, 100, 339.98, 65
2025/07/30 15:03:23.563, 100, 350.29, 65
2025/07/30 15:03:24.607, 100, 350.57, 65
2025/07/30 15:03:25.653, 100, 351.88, 65
2025/07/30 15:03:26.697, 100, 360.73, 65
2025/07/30 15:03:27.758, 100, 349.27, 65
2025/07/30 15:03:28.803, 100, 349.71, 65
2025/07/30 15:03:29.849, 100, 342.46, 65
2025/07/30 15:03:30.892, 100, 356.91, 65
2025/07/30 15:03:31.932, 100, 351.40, 65
2025/07/30 15:03:32.974, 100, 350.30, 65
2025/07/30 15:03:34.040, 100, 356.75, 65
2025/07/30 15:03:35.064, 100, 352.23, 65
2025/07/30 15:03:36.088, 100, 349.75, 65
2025/07/30 15:03:37.128, 100, 350.76, 65
2025/07/30 15:03:38.192, 100, 344.40, 65
2025/07/30 15:03:39.237, 100, 351.32, 65
2025/07/30 15:03:40.276, 100, 349.99, 65
2025/07/30 15:03:41.321, 100, 350.49, 65
2025/07/30 15:03:42.361, 100, 339.73, 65
2025/07/30 15:03:43.409, 100, 354.16, 65
2025/07/30 15:03:44.453, 100, 350.04, 65
2025/07/30 15:03:45.517, 100, 350.27, 65
2025/07/30 15:03:46.560, 100, 345.63, 65
2025/07/30 15:03:47.601, 100, 351.70, 65
2025/07/30 15:03:48.644, 100, 350.50, 65
2025/07/30 15:03:49.705, 100, 350.65, 65
2025/07/30 15:03:50.748, 100, 341.41, 65
2025/07/30 15:03:51.790, 100, 352.14, 65
2025/07/30 15:03:52.855, 100, 350.89, 65
2025/07/30 15:03:53.918, 100, 350.40, 65
2025/07/30 15:03:54.982, 100, 348.15, 65
2025/07/30 15:03:56.025, 100, 352.50, 65
2025/07/30 15:03:57.069, 100, 351.43, 65
2025/07/30 15:03:58.128, 100, 351.59, 65
2025/07/30 15:03:59.188, 100, 342.79, 65
2025/07/30 15:04:00.233, 100, 352.71, 65
2025/07/30 15:04:01.275, 100, 351.54, 65
2025/07/30 15:04:02.320, 100, 351.00, 65
2025/07/30 15:04:03.361, 100, 351.62, 65
2025/07/30 15:04:04.400, 100, 351.51, 65
2025/07/30 15:04:05.440, 100, 351.63, 65
2025/07/30 15:04:06.482, 100, 351.58, 65
2025/07/30 15:04:07.525, 100, 341.95, 65
