timestamp, utilization.gpu [%], power.draw [W], temperature.gpu [C]
2025/07/30 14:46:47.090, 100, 349.46, 63
2025/07/30 14:46:48.135, 100, 343.80, 64
2025/07/30 14:46:49.178, 100, 348.76, 63
2025/07/30 14:46:50.225, 100, 348.96, 63
2025/07/30 14:46:51.265, 100, 349.48, 63
2025/07/30 14:46:52.313, 100, 348.84, 63
2025/07/30 14:46:53.357, 100, 348.63, 63
2025/07/30 14:46:54.402, 100, 349.70, 63
2025/07/30 14:46:55.447, 100, 349.05, 63
2025/07/30 14:46:56.493, 100, 356.48, 63
2025/07/30 14:46:57.539, 100, 349.20, 63
2025/07/30 14:46:58.564, 100, 349.88, 63
2025/07/30 14:46:59.588, 100, 348.91, 63
2025/07/30 14:47:00.613, 100, 343.83, 63
2025/07/30 14:47:01.639, 100, 349.55, 63
2025/07/30 14:47:02.683, 100, 350.03, 63
2025/07/30 14:47:03.726, 100, 349.71, 63
2025/07/30 14:47:04.774, 100, 344.98, 63
2025/07/30 14:47:05.818, 100, 348.11, 63
2025/07/30 14:47:06.862, 100, 349.29, 63
2025/07/30 14:47:07.906, 100, 350.40, 63
2025/07/30 14:47:08.975, 100, 355.07, 63
2025/07/30 14:47:10.018, 100, 348.21, 63
2025/07/30 14:47:11.061, 100, 348.61, 63
2025/07/30 14:47:12.105, 100, 349.99, 57
2025/07/30 14:47:13.129, 100, 360.39, 63
2025/07/30 14:47:14.173, 100, 350.58, 63
2025/07/30 14:47:15.213, 100, 348.83, 63
2025/07/30 14:47:16.236, 100, 338.02, 58
2025/07/30 14:47:17.261, 100, 343.32, 63
2025/07/30 14:47:18.302, 100, 350.27, 63
2025/07/30 14:47:19.365, 100, 349.22, 63
2025/07/30 14:47:20.409, 100, 338.46, 64
2025/07/30 14:47:21.433, 100, 356.51, 63
2025/07/30 14:47:22.473, 100, 349.39, 63
2025/07/30 14:47:23.513, 100, 349.55, 63
2025/07/30 14:47:24.562, 100, 357.61, 64
